message,dispatch,response_time_minutes,priority,address,emergency_type
"Not sure what's going on, maybe crime? at store. Need someone here.",police unit x1,1,2,"1136 Pine Rd, San Diego, CA",Crime
bad stuff at store accident,ambulance x2; firetruck x1,4,3,"8033 Maple Ave, San Diego, CA",Accident
crime??  store.  hurry,SWAT x1; police unit x2,9,3,"3303 Mission St, San Diego, CA",Crime
"Please send assistance to the office. It's a medical emergency, looks severe.",ambulance x1,7,1,"6583 Sunset Dr, San Diego, CA",Medical
bad stuff at road natural disaster,helicopter x1; rescue unit x2,7,3,"7312 Sunset Dr, San Diego, CA",Natural Disaster
"Emergency! Accident at my school. Need help ASAP, address included.",ambulance x1; police unit x1,7,1,"5022 Sunset Dr, San Diego, CA",Accident
"rescue problem at beach, come quick.",helicopter x1; rescue unit x1,4,2,"5247 Pine Rd, San Diego, CA",Rescue
"Not sure what's going on, maybe accident? at store. Need someone here.",ambulance x2; firetruck x1,6,2,"9535 Oak Blvd, San Diego, CA",Accident
"Not sure what's going on, maybe crime? at park. Need someone here.",police unit x2,7,2,"6080 Maple Ave, San Diego, CA",Crime
"Emergency! Rescue at my office. Need help ASAP, address included.",rescue unit x1,4,1,"9112 Elm St, San Diego, CA",Rescue
"Emergency! Hazard at my park. Need help ASAP, address included.",hazmat unit x1,10,1,"7283 Cedar Ln, San Diego, CA",Hazard
I need help immediately at the beach. There's a serious natural disaster situation.,helicopter x1; rescue unit x2,4,1,"8280 Pine Rd, San Diego, CA",Natural Disaster
I need help immediately at the store. There's a serious hazard situation.,hazmat unit x1; firetruck x1,10,1,"2625 Ocean View Way, San Diego, CA",Hazard
natural disaster?? park. hurry,helicopter x1; rescue unit x2,5,3,"9896 Mission St, San Diego, CA",Natural Disaster
sos rescue park send help,helicopter x1; rescue unit x1,6,3,"9007 Elm St, San Diego, CA",Rescue
Uh oh. Something bad natural disaster happening at the store.,rescue unit x2; firetruck x1,4,2,"1891 Oak Blvd, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe hazard? at beach. Need someone here.",hazmat unit x1,14,2,"825 4th Ave, San Diego, CA",Hazard
"Emergency! Hazard at my beach. Need help ASAP, address included.",hazmat unit x1; firetruck x1,10,1,"5532 Ocean View Way, San Diego, CA",Hazard
"medical problem at home, come quick.",ambulance x2,6,2,"3737 Broadway, San Diego, CA",Medical
Uh oh. Something bad hazard happening at the road.,hazmat unit x1,7,2,"7403 Sunset Dr, San Diego, CA",Hazard
sos accident park send help,ambulance x1; police unit x1,2,3,"5751 Elm St, San Diego, CA",Accident
"Not sure what's going on, maybe accident? at home. Need someone here.",ambulance x2; firetruck x1,7,2,"1506 Maple Ave, San Diego, CA",Accident
natural disaster?? beach. hurry,helicopter x1; rescue unit x2,9,3,"5210 Sunset Dr, San Diego, CA",Natural Disaster
accident??  school.  hurry,ambulance x2; firetruck x1,3,3,"7901 Maple Ave, San Diego, CA",Accident
Uh oh. Something bad accident happening at the beach.,ambulance x2; firetruck x1,8,2,"5325 Maple Ave, San Diego, CA",Accident
"Emergency! Crime at my home. Need help ASAP, address included.",police unit x1,5,1,"470 Sunset Dr, San Diego, CA",Crime
"Emergency! Hazard at my home. Need help ASAP, address included.",hazmat unit x1,9,1,"4096 Broadway, San Diego, CA",Hazard
"fire problem at road, come quick.",firetruck x2,7,2,"9272 Ocean View Way, San Diego, CA",Fire
"Not sure what's going on, maybe accident? at office. Need someone here.",ambulance x1; police unit x1,2,2,"3153 Ocean View Way, San Diego, CA",Accident
"Emergency! Accident at my home. Need help ASAP, address included.",ambulance x1; police unit x1,8,1,"7465 4th Ave, San Diego, CA",Accident
accident?? park. hurry,ambulance x1; police unit x1,6,3,"3471 Cedar Ln, San Diego, CA",Accident
"natural disaster problem at beach, come quick.",rescue unit x2; firetruck x1,6,2,"8896 Pine Rd, San Diego, CA",Natural Disaster
crime?? store. hurry,police unit x2,4,3,"1967 Cedar Ln, San Diego, CA",Crime
"Not sure what's going on, maybe hazard? at school. Need someone here.",hazmat unit x1; firetruck x1,12,2,"9880 Ocean View Way, San Diego, CA",Hazard
Uh oh. Something bad rescue happening at the park.,rescue unit x1,5,2,"5800 Sunset Dr, San Diego, CA",Rescue
Uh oh. Something bad natural disaster happening at the park.,rescue unit x2; firetruck x1,1,2,"4973 4th Ave, San Diego, CA",Natural Disaster
"Emergency! Rescue at my home. Need help ASAP, address included.",rescue unit x1,2,1,"5231 Maple Ave, San Diego, CA",Rescue
fire?? store. hurry,firetruck x1,3,3,"6216 Pine Rd, San Diego, CA",Fire
bad  stuff  at  park  r3scu3,helicopter x1; rescue unit x1,8,3,"7031 Pine Rd, San Diego, CA",Rescue
sos accident beach send help,ambulance x1; police unit x1,6,3,"9191 Pine Rd, San Diego, CA",Accident
"accident problem at store, come quick.",ambulance x1; police unit x1,6,2,"5254 Mission St, San Diego, CA",Accident
"Not sure what's going on, maybe rescue? at home. Need someone here.",rescue unit x1,3,2,"8039 Pine Rd, San Diego, CA",Rescue
"Not sure what's going on, maybe fire? at school. Need someone here.",firetruck x1; ladder truck x1,5,2,"8381 Mission St, San Diego, CA",Fire
???accidenthere,ambulance x2; firetruck x1,5,2,"2840 Maple Ave, San Diego, CA",Accident
I need help immediately at the home. There's a serious rescue situation.,helicopter x1; rescue unit x1,7,1,"635 Cedar Ln, San Diego, CA",Rescue
bad stuff at road fire,firetruck x1,5,3,"7592 4th Ave, San Diego, CA",Fire
bad stuff at school hazard,hazmat unit x1,14,3,"9483 Maple Ave, San Diego, CA",Hazard
Uh oh. Something bad crime happening at the school.,police unit x2,6,2,"8980 Elm St, San Diego, CA",Crime
"Please send assistance to the beach. It's a natural disaster emergency, looks severe.",rescue unit x2; firetruck x1,6,1,"7065 Maple Ave, San Diego, CA",Natural Disaster
sos hazard school send help,hazmat unit x1,9,3,"4977 Elm St, San Diego, CA",Hazard
"Not sure what's going on, maybe accident? at store. Need someone here.",ambulance x1; police unit x1,5,2,"7293 Maple Ave, San Diego, CA",Accident
"natural disaster problem at school, come quick.",rescue unit x2; firetruck x1,6,2,"9732 Sunset Dr, San Diego, CA",Natural Disaster
Uh oh. Something bad natural disaster happening at the beach.,helicopter x1; rescue unit x2,5,2,"2819 4th Ave, San Diego, CA",Natural Disaster
"fire problem at school, come quick.",firetruck x1,2,2,"1072 4th Ave, San Diego, CA",Fire
"Not sure what's going on, maybe crime? at road. Need someone here.",SWAT x1; police unit x2,10,2,"8927 Pine Rd, San Diego, CA",Crime
"Not sure what's going on, maybe crime? at beach. Need someone here.",police unit x2,1,2,"9483 Cedar Ln, San Diego, CA",Crime
"Emergency! Natural Disaster at my road. Need help ASAP, address included.",rescue unit x2; firetruck x1,5,1,"2321 Ocean View Way, San Diego, CA",Natural Disaster
"Emergency! Medical at my store. Need help ASAP, address included.",ambulance x1,3,1,"2274 Oak Blvd, San Diego, CA",Medical
"Not sure what's going on, maybe fire? at beach. Need someone here.",firetruck x1,3,2,"6534 Mission St, San Diego, CA",Fire
sos fire road send help,firetruck x2,9,3,"6886 Ocean View Way, San Diego, CA",Fire
Uh oh. Something bad accident happening at the home.,ambulance x1; police unit x1,6,2,"6700 Broadway, San Diego, CA",Accident
Uh oh. Something bad hazard happening at the store.,hazmat unit x1; firetruck x1,10,2,"7549 Mission St, San Diego, CA",Hazard
"crime problem at road, come quick.",SWAT x1; police unit x2,10,2,"1626 Mission St, San Diego, CA",Crime
"Emergency! Hazard at my beach. Need help ASAP, address included.",hazmat unit x1; firetruck x1,9,1,"1137 Broadway, San Diego, CA",Hazard
"Not sure what's going on, maybe accident? at office. Need someone here.",ambulance x1; police unit x1,8,2,"8205 Cedar Ln, San Diego, CA",Accident
"Please send assistance to the school. It's a crime emergency, looks severe.",police unit x2,8,1,"9067 4th Ave, San Diego, CA",Crime
"Not sure what's going on, maybe fire? at road. Need someone here.",firetruck x2,3,2,"893 Elm St, San Diego, CA",Fire
"Please send assistance to the beach. It's a medical emergency, looks severe.",ambulance x1,3,1,"2135 Pine Rd, San Diego, CA",Medical
"accident problem at park, come quick.",ambulance x2; firetruck x1,4,2,"3414 Pine Rd, San Diego, CA",Accident
"hazard problem at store, come quick.",hazmat unit x1; firetruck x1,10,2,"1629 Sunset Dr, San Diego, CA",Hazard
"Not sure what's going on, maybe crime? at home. Need someone here.",SWAT x1; police unit x2,10,2,"2811 Elm St, San Diego, CA",Crime
"Please send assistance to the beach. It's a accident emergency, looks severe.",ambulance x1; police unit x1,6,1,"7132 Maple Ave, San Diego, CA",Accident
hazard?? home. hurry,hazmat unit x1,11,3,"7912 Maple Ave, San Diego, CA",Hazard
I need help immediately at the road. There's a serious fire situation.,firetruck x1; ladder truck x1,3,1,"7391 Elm St, San Diego, CA",Fire
"Not sure what's going on, maybe medical? at beach. Need someone here.",ambulance x1,7,2,"7019 Pine Rd, San Diego, CA",Medical
accident?? home. hurry,ambulance x2; firetruck x1,8,3,"1563 Maple Ave, San Diego, CA",Accident
"Not sure what's going on, maybe medical? at store. Need someone here.",ambulance x2,6,2,"2346 Ocean View Way, San Diego, CA",Medical
"natural disaster problem at school, come quick.",rescue unit x2; firetruck x1,6,2,"1220 Broadway, San Diego, CA",Natural Disaster
sos  r3scu3  hom3  s3nd  h3lp,helicopter x1; rescue unit x1,3,3,"5853 Oak Blvd, San Diego, CA",Rescue
I need help immediately at the beach. There's a serious hazard situation.,hazmat unit x1; firetruck x1,8,1,"7348 Oak Blvd, San Diego, CA",Hazard
medical?? home. hurry,ambulance x1,1,3,"9759 Ocean View Way, San Diego, CA",Medical
bad stuff at park crime,police unit x1,3,3,"4159 Cedar Ln, San Diego, CA",Crime
I need help immediately at the home. There's a serious hazard situation.,hazmat unit x1; firetruck x1,12,1,"539 Cedar Ln, San Diego, CA",Hazard
sos fire road send help,firetruck x1; ladder truck x1,10,3,"3190 Ocean View Way, San Diego, CA",Fire
"crime problem at beach, come quick.",police unit x1,5,2,"8208 Ocean View Way, San Diego, CA",Crime
???  m3dical  h3r3,ambulance x1; rescue unit x1,10,2,"297 Sunset Dr, San Diego, CA",Medical
bad  stuff  at  office  crime,police unit x2,2,3,"9051 Pine Rd, San Diego, CA",Crime
I need help immediately at the park. There's a serious natural disaster situation.,rescue unit x2; firetruck x1,10,1,"9723 Maple Ave, San Diego, CA",Natural Disaster
I need help immediately at the store. There's a serious medical situation.,ambulance x1,7,1,"1090 Ocean View Way, San Diego, CA",Medical
Uh oh. Something bad rescue happening at the store.,helicopter x1; rescue unit x1,7,2,"7039 Ocean View Way, San Diego, CA",Rescue
Uh oh. Something bad medical happening at the beach.,ambulance x1; rescue unit x1,6,2,"2601 Cedar Ln, San Diego, CA",Medical
"medical problem at store, come quick.",ambulance x1; rescue unit x1,5,2,"3429 Pine Rd, San Diego, CA",Medical
bad stuff at store rescue,rescue unit x1,5,3,"5181 Ocean View Way, San Diego, CA",Rescue
hlp hazard school,hazmat unit x1,9,2,"7218 Maple Ave, San Diego, CA",Hazard
sos accident road send help,ambulance x1; police unit x1,3,3,"5167 Pine Rd, San Diego, CA",Accident
Uh oh. Something bad medical happening at the home.,ambulance x1,8,2,"285 Pine Rd, San Diego, CA",Medical
Uh oh. Something bad accident happening at the store.,ambulance x2; firetruck x1,2,2,"2835 Sunset Dr, San Diego, CA",Accident
bad stuff at beach fire,firetruck x1; ladder truck x1,7,3,"2034 Elm St, San Diego, CA",Fire
bad stuff at school crime,police unit x2,5,3,"8682 Maple Ave, San Diego, CA",Crime
Uh oh. Something bad crime happening at the beach.,SWAT x1; police unit x2,8,2,"1362 Mission St, San Diego, CA",Crime
"Not sure what's going on, maybe accident? at road. Need someone here.",ambulance x1; police unit x1,3,2,"8285 4th Ave, San Diego, CA",Accident
fire?? store. hurry,firetruck x2,6,3,"1785 4th Ave, San Diego, CA",Fire
hlp hazard b3ach,hazmat unit x1,10,2,"301 Oak Blvd, San Diego, CA",Hazard
"Not sure what's going on, maybe medical? at park. Need someone here.",ambulance x2,7,2,"2558 Pine Rd, San Diego, CA",Medical
Uh oh. Something bad natural disaster happening at the home.,helicopter x1; rescue unit x2,8,2,"3778 Sunset Dr, San Diego, CA",Natural Disaster
Uh oh. Something bad fire happening at the park.,firetruck x2,5,2,"4544 Maple Ave, San Diego, CA",Fire
"rescue problem at store, come quick.",rescue unit x1,7,2,"3038 Oak Blvd, San Diego, CA",Rescue
"natural disaster problem at road, come quick.",helicopter x1; rescue unit x2,6,2,"1229 Mission St, San Diego, CA",Natural Disaster
bad stuff at store natural disaster,helicopter x1; rescue unit x2,4,3,"1515 Broadway, San Diego, CA",Natural Disaster
??? accident here,ambulance x2; firetruck x1,9,2,"4074 Mission St, San Diego, CA",Accident
bad stuff at road crim3,police unit x1,4,3,"204 Ocean View Way, San Diego, CA",Crime
sos medical office send help,ambulance x2,7,3,"257 Sunset Dr, San Diego, CA",Medical
sos medical school send help,ambulance x2,8,3,"5138 Maple Ave, San Diego, CA",Medical
fire?? road. hurry,firetruck x2,6,3,"8161 Elm St, San Diego, CA",Fire
bad stuff at beach fire,firetruck x1,10,3,"819 Oak Blvd, San Diego, CA",Fire
bad  stuff  at  road  natural  disaster,helicopter x1; rescue unit x2,6,3,"1491 4th Ave, San Diego, CA",Natural Disaster
"medical problem at road, come quick.",ambulance x1; rescue unit x1,6,2,"6561 Maple Ave, San Diego, CA",Medical
"rescue problem at road, come quick.",helicopter x1; rescue unit x1,5,2,"2241 Oak Blvd, San Diego, CA",Rescue
"Not sure what's going on, maybe crime? at store. Need someone here.",police unit x2,5,2,"5445 Sunset Dr, San Diego, CA",Crime
"accident problem at store, come quick.",ambulance x1; police unit x1,10,2,"3421 Pine Rd, San Diego, CA",Accident
sos natural disaster school send help,rescue unit x2; firetruck x1,3,3,"2646 Maple Ave, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe fire? at park. Need someone here.",firetruck x2,11,2,"6760 Maple Ave, San Diego, CA",Fire
rescue?? store. hurry,helicopter x1; rescue unit x1,9,3,"5151 Mission St, San Diego, CA",Rescue
I need help immediately at the school. There's a serious crime situation.,police unit x1,4,1,"2682 Cedar Ln, San Diego, CA",Crime
Uh oh. Something bad natural disaster happening at the beach.,rescue unit x2; firetruck x1,9,2,"3622 Sunset Dr, San Diego, CA",Natural Disaster
sos fire home send help,firetruck x1,5,3,"5928 Ocean View Way, San Diego, CA",Fire
sos rescue home send help,helicopter x1; rescue unit x1,3,3,"4362 Pine Rd, San Diego, CA",Rescue
bad stuff at park medical,ambulance x1; rescue unit x1,3,3,"9113 Oak Blvd, San Diego, CA",Medical
"medical problem at park, come quick.",ambulance x1,4,2,"2089 Elm St, San Diego, CA",Medical
"medical problem at school, come quick.",ambulance x1,2,2,"3346 Ocean View Way, San Diego, CA",Medical
Uh oh. Something bad crime happening at the beach.,SWAT x1; police unit x2,11,2,"1476 4th Ave, San Diego, CA",Crime
hlp r3scu3 stor3,rescue unit x1,6,2,"7365 Pine Rd, San Diego, CA",Rescue
"Please send assistance to the school. It's a medical emergency, looks severe.",ambulance x1,3,1,"799 Mission St, San Diego, CA",Medical
"Emergency! Medical at my office. Need help ASAP, address included.",ambulance x2,6,1,"6571 Mission St, San Diego, CA",Medical
sos medical park send help,ambulance x2,5,3,"2931 Sunset Dr, San Diego, CA",Medical
"Not sure what's going on, maybe fire? at office. Need someone here.",firetruck x2,6,2,"7407 Pine Rd, San Diego, CA",Fire
Uh oh. Something bad medical happening at the road.,ambulance x1; rescue unit x1,4,2,"4126 Cedar Ln, San Diego, CA",Medical
Uh oh. Something bad accident happening at the park.,ambulance x2; firetruck x1,3,2,"1099 Maple Ave, San Diego, CA",Accident
"crime problem at park, come quick.",police unit x2,4,2,"3367 Broadway, San Diego, CA",Crime
sos fire beach send help,firetruck x1,8,3,"6366 Sunset Dr, San Diego, CA",Fire
"Please send assistance to the road. It's a accident emergency, looks severe.",ambulance x2; firetruck x1,7,1,"9367 Broadway, San Diego, CA",Accident
bad stuff at park crim3,police unit x2,5,3,"9883 Oak Blvd, San Diego, CA",Crime
"Please send assistance to the school. It's a medical emergency, looks severe.",ambulance x1,6,1,"7828 Broadway, San Diego, CA",Medical
"Emergency! Crime at my school. Need help ASAP, address included.",police unit x1,6,1,"2715 Maple Ave, San Diego, CA",Crime
"fire problem at beach, come quick.",firetruck x2,5,2,"8843 Elm St, San Diego, CA",Fire
Uh oh. Something bad natural disaster happening at the office.,helicopter x1; rescue unit x2,5,2,"5913 Pine Rd, San Diego, CA",Natural Disaster
Uh oh. Something bad fire happening at the office.,firetruck x2,7,2,"5978 4th Ave, San Diego, CA",Fire
sos medical beach send help,ambulance x2,3,3,"9400 4th Ave, San Diego, CA",Medical
hlpfireroad,firetruck x1,7,2,"8135 Elm St, San Diego, CA",Fire
m3dical??  hom3.  hurry,ambulance x1,1,3,"8725 Mission St, San Diego, CA",Medical
Uh oh. Something bad medical happening at the store.,ambulance x1,10,2,"2237 Sunset Dr, San Diego, CA",Medical
"Not sure what's going on, maybe hazard? at office. Need someone here.",hazmat unit x1,11,2,"459 Pine Rd, San Diego, CA",Hazard
"rescue problem at beach, come quick.",rescue unit x1,5,2,"8722 Sunset Dr, San Diego, CA",Rescue
Uh oh. Something bad medical happening at the store.,ambulance x1; rescue unit x1,5,2,"6581 4th Ave, San Diego, CA",Medical
"Not sure what's going on, maybe medical? at store. Need someone here.",ambulance x2,6,2,"2335 Pine Rd, San Diego, CA",Medical
sos hazard park send help,hazmat unit x1; firetruck x1,11,3,"5298 Pine Rd, San Diego, CA",Hazard
Uh oh. Something bad hazard happening at the road.,hazmat unit x1; firetruck x1,8,2,"3757 4th Ave, San Diego, CA",Hazard
"Not sure what's going on, maybe natural disaster? at office. Need someone here.",helicopter x1; rescue unit x2,4,2,"4925 Pine Rd, San Diego, CA",Natural Disaster
"fire problem at beach, come quick.",firetruck x1; ladder truck x1,5,2,"9485 Ocean View Way, San Diego, CA",Fire
"Emergency! Natural Disaster at my school. Need help ASAP, address included.",rescue unit x2; firetruck x1,6,1,"3083 4th Ave, San Diego, CA",Natural Disaster
Uh oh. Something bad crime happening at the school.,police unit x1,7,2,"9365 Maple Ave, San Diego, CA",Crime
"Please send assistance to the office. It's a accident emergency, looks severe.",ambulance x1; police unit x1,7,1,"3999 Sunset Dr, San Diego, CA",Accident
Uh oh. Something bad crime happening at the office.,police unit x1,3,2,"5600 Mission St, San Diego, CA",Crime
m3dical?? stor3. hurry,ambulance x2,5,3,"4305 Maple Ave, San Diego, CA",Medical
hazard?? home. hurry,hazmat unit x1; firetruck x1,9,3,"7279 Ocean View Way, San Diego, CA",Hazard
"Not sure what's going on, maybe fire? at park. Need someone here.",firetruck x2,7,2,"5854 Broadway, San Diego, CA",Fire
"Not sure what's going on, maybe accident? at home. Need someone here.",ambulance x1; police unit x1,6,2,"2764 Mission St, San Diego, CA",Accident
"medical problem at school, come quick.",ambulance x2,2,2,"428 Sunset Dr, San Diego, CA",Medical
crime?? home. hurry,police unit x2,5,3,"2887 Ocean View Way, San Diego, CA",Crime
fir3??  b3ach.  hurry,firetruck x2,7,3,"9832 4th Ave, San Diego, CA",Fire
I need help immediately at the beach. There's a serious accident situation.,ambulance x2; firetruck x1,8,1,"2803 4th Ave, San Diego, CA",Accident
accident?? office. hurry,ambulance x1; police unit x1,8,3,"5524 Oak Blvd, San Diego, CA",Accident
Uh oh. Something bad fire happening at the park.,firetruck x1; ladder truck x1,5,2,"8949 Cedar Ln, San Diego, CA",Fire
bad stuff at store hazard,hazmat unit x1,9,3,"1671 Elm St, San Diego, CA",Hazard
sos accident road send help,ambulance x2; firetruck x1,6,3,"2616 Elm St, San Diego, CA",Accident
"Not sure what's going on, maybe crime? at home. Need someone here.",police unit x1,6,2,"4925 4th Ave, San Diego, CA",Crime
"accident problem at office, come quick.",ambulance x1; police unit x1,8,2,"3490 Pine Rd, San Diego, CA",Accident
"hazard problem at store, come quick.",hazmat unit x1; firetruck x1,7,2,"1992 Cedar Ln, San Diego, CA",Hazard
???naturaldisasterhere,rescue unit x2; firetruck x1,7,2,"9014 Ocean View Way, San Diego, CA",Natural Disaster
badstuffatstor3fir3,firetruck x2,5,3,"831 Cedar Ln, San Diego, CA",Fire
bad stuff at park accident,ambulance x1; police unit x1,2,3,"2576 Maple Ave, San Diego, CA",Accident
"Not sure what's going on, maybe medical? at beach. Need someone here.",ambulance x1; rescue unit x1,7,2,"6882 4th Ave, San Diego, CA",Medical
fire?? road. hurry,firetruck x2,1,3,"8661 Ocean View Way, San Diego, CA",Fire
bad stuff at beach rescue,rescue unit x1,6,3,"7903 Cedar Ln, San Diego, CA",Rescue
plz m3dical park fast,ambulance x1,6,2,"7457 Pine Rd, San Diego, CA",Medical
"fire problem at office, come quick.",firetruck x1,7,2,"799 Ocean View Way, San Diego, CA",Fire
"Not sure what's going on, maybe medical? at beach. Need someone here.",ambulance x1,4,2,"2522 4th Ave, San Diego, CA",Medical
"Emergency! Crime at my store. Need help ASAP, address included.",police unit x1,5,1,"1525 Ocean View Way, San Diego, CA",Crime
Uh oh. Something bad rescue happening at the park.,helicopter x1; rescue unit x1,4,2,"4625 Broadway, San Diego, CA",Rescue
accident?? school. hurry,ambulance x2; firetruck x1,4,3,"1943 Ocean View Way, San Diego, CA",Accident
Uh oh. Something bad fire happening at the office.,firetruck x1; ladder truck x1,9,2,"9646 Maple Ave, San Diego, CA",Fire
medical??road.hurry,ambulance x2,2,3,"4427 Ocean View Way, San Diego, CA",Medical
"Emergency! Hazard at my park. Need help ASAP, address included.",hazmat unit x1; firetruck x1,9,1,"713 Pine Rd, San Diego, CA",Hazard
crime?? park. hurry,SWAT x1; police unit x2,12,3,"6681 Elm St, San Diego, CA",Crime
sos accident store send help,ambulance x1; police unit x1,9,3,"907 Mission St, San Diego, CA",Accident
"crime problem at store, come quick.",police unit x2,5,2,"5065 Cedar Ln, San Diego, CA",Crime
"Please send assistance to the school. It's a crime emergency, looks severe.",SWAT x1; police unit x2,8,1,"1709 Oak Blvd, San Diego, CA",Crime
Uh oh. Something bad fire happening at the store.,firetruck x2,6,2,"5357 Cedar Ln, San Diego, CA",Fire
"Emergency! Hazard at my park. Need help ASAP, address included.",hazmat unit x1,13,1,"3179 Mission St, San Diego, CA",Hazard
"Not sure what's going on, maybe fire? at school. Need someone here.",firetruck x1; ladder truck x1,4,2,"8037 Broadway, San Diego, CA",Fire
"natural disaster problem at store, come quick.",rescue unit x2; firetruck x1,4,2,"1175 Cedar Ln, San Diego, CA",Natural Disaster
"Please send assistance to the road. It's a hazard emergency, looks severe.",hazmat unit x1,10,1,"8689 4th Ave, San Diego, CA",Hazard
medical?? office. hurry,ambulance x1,6,3,"1044 Oak Blvd, San Diego, CA",Medical
m3dical??park.hurry,ambulance x2,4,3,"6135 Mission St, San Diego, CA",Medical
"Emergency! Rescue at my park. Need help ASAP, address included.",rescue unit x1,4,1,"600 Oak Blvd, San Diego, CA",Rescue
soscrim3parks3ndh3lp,police unit x2,7,3,"9715 Broadway, San Diego, CA",Crime
I need help immediately at the store. There's a serious crime situation.,police unit x2,7,1,"1580 Cedar Ln, San Diego, CA",Crime
"medical problem at park, come quick.",ambulance x1,4,2,"9475 Oak Blvd, San Diego, CA",Medical
plz natural disast3r offic3 fast,helicopter x1; rescue unit x2,9,2,"6809 Broadway, San Diego, CA",Natural Disaster
sos medical school send help,ambulance x1,5,3,"7867 Pine Rd, San Diego, CA",Medical
"Emergency! Hazard at my office. Need help ASAP, address included.",hazmat unit x1,11,1,"3766 Cedar Ln, San Diego, CA",Hazard
"Not sure what's going on, maybe rescue? at school. Need someone here.",helicopter x1; rescue unit x1,10,2,"7043 Ocean View Way, San Diego, CA",Rescue
bad stuff at store natural disaster,helicopter x1; rescue unit x2,7,3,"3675 Mission St, San Diego, CA",Natural Disaster
Uh oh. Something bad crime happening at the beach.,SWAT x1; police unit x2,10,2,"6606 4th Ave, San Diego, CA",Crime
"Emergency! Medical at my home. Need help ASAP, address included.",ambulance x1; rescue unit x1,7,1,"6231 Broadway, San Diego, CA",Medical
Uh oh. Something bad hazard happening at the road.,hazmat unit x1; firetruck x1,12,2,"4990 Maple Ave, San Diego, CA",Hazard
bad stuff at home accident,ambulance x2; firetruck x1,4,3,"5427 Cedar Ln, San Diego, CA",Accident
sos  crime  beach  send  help,police unit x1,2,3,"2556 Broadway, San Diego, CA",Crime
I need help immediately at the office. There's a serious natural disaster situation.,helicopter x1; rescue unit x2,3,1,"5336 Pine Rd, San Diego, CA",Natural Disaster
sos hazard home send help,hazmat unit x1; firetruck x1,9,3,"4943 Cedar Ln, San Diego, CA",Hazard
"Not sure what's going on, maybe accident? at park. Need someone here.",ambulance x1; police unit x1,7,2,"9652 4th Ave, San Diego, CA",Accident
"Not sure what's going on, maybe natural disaster? at office. Need someone here.",rescue unit x2; firetruck x1,4,2,"8859 Mission St, San Diego, CA",Natural Disaster
Uh oh. Something bad hazard happening at the store.,hazmat unit x1; firetruck x1,10,2,"2885 Broadway, San Diego, CA",Hazard
fire?? store. hurry,firetruck x2,9,3,"2196 Cedar Ln, San Diego, CA",Fire
Uh oh. Something bad hazard happening at the school.,hazmat unit x1,11,2,"5599 Maple Ave, San Diego, CA",Hazard
"fire problem at store, come quick.",firetruck x1; ladder truck x1,8,2,"5131 Ocean View Way, San Diego, CA",Fire
"Not sure what's going on, maybe natural disaster? at store. Need someone here.",helicopter x1; rescue unit x2,3,2,"9693 Cedar Ln, San Diego, CA",Natural Disaster
"accident problem at school, come quick.",ambulance x2; firetruck x1,4,2,"979 4th Ave, San Diego, CA",Accident
rescue?? road. hurry,helicopter x1; rescue unit x1,7,3,"3287 Broadway, San Diego, CA",Rescue
"Emergency! Medical at my school. Need help ASAP, address included.",ambulance x2,6,1,"8780 Cedar Ln, San Diego, CA",Medical
"accident problem at home, come quick.",ambulance x1; police unit x1,9,2,"3381 Sunset Dr, San Diego, CA",Accident
"Not sure what's going on, maybe accident? at road. Need someone here.",ambulance x1; police unit x1,11,2,"5283 Pine Rd, San Diego, CA",Accident
"Not sure what's going on, maybe natural disaster? at home. Need someone here.",helicopter x1; rescue unit x2,2,2,"2997 Sunset Dr, San Diego, CA",Natural Disaster
"hazard problem at home, come quick.",hazmat unit x1; firetruck x1,10,2,"4581 Oak Blvd, San Diego, CA",Hazard
I need help immediately at the school. There's a serious natural disaster situation.,rescue unit x2; firetruck x1,7,1,"8121 Maple Ave, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe fire? at road. Need someone here.",firetruck x1; ladder truck x1,3,2,"7135 Ocean View Way, San Diego, CA",Fire
bad stuff at park accident,ambulance x1; police unit x1,4,3,"718 Broadway, San Diego, CA",Accident
bad stuff at beach fire,firetruck x1,7,3,"5379 Broadway, San Diego, CA",Fire
"Emergency! Fire at my home. Need help ASAP, address included.",firetruck x1,6,1,"4176 Oak Blvd, San Diego, CA",Fire
bad stuff at stor3 hazard,hazmat unit x1; firetruck x1,10,3,"8346 4th Ave, San Diego, CA",Hazard
I need help immediately at the office. There's a serious crime situation.,police unit x1,4,1,"4985 Cedar Ln, San Diego, CA",Crime
Uh oh. Something bad accident happening at the beach.,ambulance x2; firetruck x1,6,2,"7205 Pine Rd, San Diego, CA",Accident
bad stuff at park crime,police unit x1,7,3,"2801 Ocean View Way, San Diego, CA",Crime
"medical problem at office, come quick.",ambulance x1; rescue unit x1,6,2,"2249 Oak Blvd, San Diego, CA",Medical
sos hazard home send help,hazmat unit x1,9,3,"2117 Sunset Dr, San Diego, CA",Hazard
"hazard problem at beach, come quick.",hazmat unit x1; firetruck x1,9,2,"4290 Broadway, San Diego, CA",Hazard
"Emergency! Rescue at my home. Need help ASAP, address included.",rescue unit x1,5,1,"1871 Elm St, San Diego, CA",Rescue
